academic	adj. 學院的，理論的
donate	v. 捐贈
donor	n. 捐贈者
doom	v. 命定的，注定失敗的
dormant	adj. 休眠的
dormitory	n. 宿舍
doubt	v. n. 懷疑
doubtful	adj. 未確定的，不可靠的
downcast	adj. 沮喪的
down-hearted	adj. 情緒低落的
doze	v. 瞌睡
drag	v. 拖動
drastic	adj. 激烈的
drawback	n. 弊端，退款
dread	v. 畏懼，恐怖
drizzle	v. 下細雨
drought	n. 乾旱
drowsy	adj. 昏昏欲睡的
dual	adj. 二重的，兩層的
dubious	adj. 懷疑的
ductile	adj. 柔軟的，訓良的
due	adj. 預定的，應得的，到期的
dumb	adj. 啞的，無言的
dungeon	n. 地牢
durable	adj. 耐久的，持久的
dusky	adj. 微暗的，膚色黑的
dwell	vi. 居住
dwelling	n. 住所
dwindle	v. 減少
dye	n. 顏料，染色
eager	adj. 渴望的，熱心的
ebb	v. 退潮，衰退
eccentric	adj. 古怪的
economic	adj. 經濟的
economical	adj. 節約的，經濟的
economics	n. 經濟
economize	v. 節儉
ecstasy	n. 恍惚，狂喜
edge	n. 邊
edible	adj. 可食的
edify	v. 陶冶，教化
efface	v. 塗抹，消除
effect	n. 效果，印象
effective	adj. 有效的，有影響的
effectuate	v. 使實現
efficient	adj. 有效率的
effuse	v. 流出，散佈
egoist	n. 自我主義者
eject	v.  噴出，逐出
elaborate	adj. 精心製作，詳細闡述, 精心構思的
elapse	v. 消逝
elasticity	n. 彈性
elation	n. 得意洋洋
election	n. 選舉
elegant	adj. 雅致的
element	n. 元素
elementary	adj. 基本的，初級的
elevate	vt. 提高，抬高
elite	n.精華，中堅
eloquence	n. 雄辯
eloquent	adj. 雄辯的，有口才的
elucidate	vt. 闡明，說明
elude	v. 躲避，困惑
elusive	adj. 難懂得，躲避的
emaciate	v. 使瘦弱
emaciated	adj.瘦弱的，憔悴的
embalm	vt. 銘記，使不朽
embarrass	vt. 使困窘
embellish	v. 裝飾，修飾
embezzle	vt. 盜用
embody	vt. 體現，包含
embrace	vt. 擁抱，包含
embroider	vt. 繡花，裝飾
emend	vt. 修訂
emerge	vt. 出現
emigrate	vt. 移民
eminent	adj. 傑出的
emphasize	vt. 強調，著重
emphatic	adj. 顯著的，著重的，強調的
employee	n. 僱員
employer	n. 僱主，僱用者
empower	v. 授權，使能夠
empty	adj.  空的
emulate	v. 與競爭，倣傚
enable	vt. 使能夠
enact	vt. 制定，扮演
enchant	vt. 施魔法於
encompass	v. 包圍，環繞
encourage	vt. 鼓勵
encroach	vt. 蠶食，侵佔
encumber	v. 阻礙，妨礙
endanger	vt. 危害
endeavour	n. 努力
endless	adj. 無止境的
endorse	v. 確認。支持，贊同
endure	v. 忍受，容忍
energetic	adj. 積極的，精力旺盛的
energize	vt. 供給能量，使活躍
enervate	v. 使衰弱
engender	v. 產生
engross	vt. 全神貫注於
engrossed	adj. 全神貫注的
engulf	vt. 吞沒，吞食
enhance	vt. 增加
enigma	n. 謎
enigmatic	adj. 象謎一般的，難解的
enlighten	vt. 啟發，開導，啟蒙
enlist	vt. 徵召，招募
enormous	adj. 巨大的
enrage	vt.  激怒
enrapture	vt. 使狂喜，使出神
enrich	v. 豐富
enslave	v. 奴役
entail	v. 惹起，使負擔
entangle	vt. 使糾纏，使迷惑
enterprise	n. 事業，企業
entertain	vt. 招待，娛樂
enthral	v. 迷惑，使服從
enthusiasm	n. 熱情
entice	v. 誘惑
entitle	v. 題目為，給稱號，給於權力
entitle	v. 有資格的
entity	n. 實體
entrap	v. 以網或陷阱捕捉
entrepreneur	n. 企業家，主辦人
entry	n. 進入，入口，登記
enumerate	v. 枚舉，計數
enunciate	v. 闡明，清晰發音
envelop	vt. 包圍
envoy	n. 使者，公使
episode	n. 插曲
epoch	n. 紀元，時代
equal	adj. 相等的，同樣的
equate	vt. 使相等，視為同等
equation	n. 等式
equator	n. 赤道
equilibrium	n. 平衡狀態
equipment	n. 設備
equitable	adj. 公平的，公正的
equivalent	adj. 相等的，等同品
equivocate	vi. 說模稜兩可的話，支吾
equivocal	adj. 模稜兩可的，意義不清的
erase	v. 消除
erect	v. 建設，直立
erode	v. 蝕，腐蝕
erosion	n. 腐蝕
err	vt. 錯誤，犯錯
erratic	n. 古怪的，不穩定的
erroneous	adj. 錯誤的
erupt	vt. 爆發
escape	v. 避免，逃避
eschew	vt. 避開，遠離
escort	v. 護送
essential	adj. 重要的，基本的
esteem	n. 尊敬
estimable	adj. 可估計的
estimate	v. 估計
eternal	adj. 永恆的
ethics	n. 倫理學
ethnic	adj. 種族的
etiquette	n. 禮節
euphonious	adj. 悅耳的
evacuate	v. 疏散，使….空
evade	v. 逃避，迴避
evaluate	v. 評價，估價
evaporate	v. 蒸發
evasion	n. 逃避
evasive	adj. 逃避的，推委的
even	adj. 平的，偶數的
eventual	adj. 最後的
evidence	n. 證據，證人
evident	adj. 明白的
evoke	vt. 喚起
evolutionary	adj. 進化的
evolve	v. 使進化，使發展
exacting	adj. 費力的，嚴格的
exaggerate	v. 誇大，誇張
exalt	v. 稱讚，提升
exalted	adj. 尊貴的，興奮的
exasperate	v. 激怒
excavate	v. 挖掘
excellent	adj. 優秀的，傑出的
exception	n. 例外
exceptional	adj. 卓越的，例外的
excerpt	n.v.  摘錄
excess	n. 過度
excessive	adj. 過多的，極度的
exchange	vt.n. 兌換，交換，
excitement	n. 激動，興奮，刺激
exclaim	v. 呼喊，驚叫
exclude	v. 把….排除在外
exclusion	n. 除外，拒絕
exclusive	adj. 排外的，獨佔的
excuse	n. 借口
exemplary	adj. 模範的，典範的
exemplify	vt. 例證，例示
exempt	v. 免除，被免除的
exert	v. 發揮，施加
exhale	v. 呼出，發出，散發
exhaust	v. 使疲倦
exhaustive	adj. 五遺漏的，徹底的，廣泛的
exhibit	v. 顯示
exhume	vt. 掘出
exile	n. 流放，放逐，被流放者
exist	vi. 生存
exit	n. 出口，退出
exodus	n. 大批離去
exorbitant	adj. 過分的，過度的
exotic	adj. 外來的，有異國風味的
expansive	adj. 廣闊的，可擴張的，可膨脹的
expedient	adj. 權宜的，方便的
expedite	vt. 加速，派出，暢通
expedition	n. 遠征
expeditious	adj. 敏捷的，迅速的
experienced	adj. 有經驗的
expertise	n. 專門知識
expire	v. 失效，斷氣
explicit	adj. 明確的，清楚的
explode	vi. 爆炸
exploit	vt. 開發，剝削
explore	v. 探險，探索
explosive	adj. 爆炸的，炸藥
exponent	n. 解釋著，指數
exposure	n. 曝光
expound	v. 解釋
exquisite	adj. 精美的，靈敏的
extant	adj. 現存的
extemporaneous	adj. 即席的
extension	n. 延伸
extensive	adj. 大量的，廣泛的
extenuate	vt. 使…顯得輕微
exterminate	v. 消滅
external	adj. 外部的
extinct	adj. 熄滅的，滅絕的
extinction	n. 滅絕
extinguish	vt. 熄滅，消滅
extol	v. 頌揚
extort	v. 勒索，強索
extraneous	adj. 外來的，無關的
extravagant	adj. 奢侈的，浪費的
extricate	vt. 救出，使解脫
exude	v. 滲出，流出
exultant	adj. 歡騰的，狂歡的
eyewitness	n. 目擊者
fable	n. 寓言，傳說
fabricate	vt. 製造，偽造
facet	n. 方面，平面
facetious	adj. 幽默的，滑稽的
facile	adj. 輕而易舉的，隨和的
facility	n. 熟練，工具
factious	adj. 黨派的
faint	adj. 混暈的，模糊的，微弱的
faithful	adj. 忠實的。n. 信徒
fallible	adj. 易錯的
familiarize	v. 熟悉
famish	v. 使挨餓
fanatic	adj. 盲信者，狂熱的
fanaticism	n. 狂熱，盲從
fantasy	n. 幻想，空想，怪念頭
farce	n. 鬧劇
fascinate	v. 使迷惑
fashionable	adj. 流行的，時髦的
fatalism	n. 宿命論
fateful	adj. 重大的，預言性的，致命的，
fatuous	adj. 愚昧的
feasible	adj. 切實可行的
feat	n. 功績，壯舉
feeble	adj. 微弱的
feign	v. 假裝
fermentation	n. 發酵
ferocious	adj. 兇猛的
ferret	v. 搜索
fertile	adj.肥沃的，多產的
fertilizer	n. 肥料
fervent	adj. 白熱的，強烈的
fester	v. 化膿
fetter	n. 束縛
feud	n. 世仇，不和
feverish	adj. 發燒的
fickle	adj. 多變的
fiction	n. 小說
fictitious	adj. 虛構的
fidelity	n. 忠誠
figment	n. 虛構之事
figure-head	n. 名義領袖
filthy	adj. 污穢的，卑鄙的
final	adj. 最後的
finance	n. 財政，資助
finch	n. 鳴噙
fine	n. 罰金，細微的
firm	adj. 堅挺的，結實的
fishy	adj. 值得懷疑的
fit	vt. 適合的
fitful	adj. 一真真的，斷續的
fitting	adj. 適當的，配合
fixed	adj. 固定的
fixture	n. 固定設備
flare	n.v. 閃耀
flatter	vt. 奉承，阿諛，諂媚
flavour	n. 味，風味
flaw	n. 缺點
flay	vt. 剝皮
flee	v. 逃跑
flexible	adj.靈活的，變通的
flicker	v. 閃爍
flighty	adj. 輕浮的
flimsy	adj. 脆弱的，薄弱的
flip	v. 彈，投，翻滾
flora	n. 植物界
flounder	vi. 掙扎，躊躇
flout	v. 嘲弄
fluctuate	v. 波動，使波動
fluent	adj. 流利的，流暢的
fluffy	adj. 絨毛的
flush	v. 沖洗，臉紅
fluster	v. 使慌亂
foam	n. 泡沫
foe	n. 敵人
fog	n. 霧
foil	vt. 阻止
foment	v. 引發
forbid	v. 禁止
foremost	adj. 最初的，第一流的
forerunner	n. 先驅，祖先
foresee	vt. 預知
foresight	n. 預見，遠見
forestall	vt. 預先阻止
foretell	vt. 預言
forge	v. 鑄造，偽造
forlorn	adj. 掘網，被遺棄的
formal	adj. 正式的，禮儀上的
former	dj. 以前的
formidable	adj. 可畏懼的，可怕的
forsake	vt. 遺棄，拋棄，
fort	n. 要塞，堡壘
forte	n. 長處
forth	adv. 向前
forthright	adj. 直接的，立即的
fortify	v. 加強
fortitude	n. 堅韌，剛強
fortress	n. 堡壘，要塞
fortuitous	adj. 偶然的，意外的
fortunate	adj. 幸運的
fortune	n. 財富
foul	adj. 違規的，邪惡的
fowl	n. 雞，家禽
fraction	n. 片斷，分數
fracture	n. 斷裂，骨折
fragile	adj. 脆的，體制弱的
fragment	n. 碎片，破片
fragmentary	adj. 碎片的，不連續的
fragrant	adj. 香的，芬芳的
frail	adj. 脆弱的，意志薄弱的
frank	adj. 坦白的，直率的
fraternal	adj. 兄弟的，兄弟般的，友愛的
fraud	n. 欺騙
fraudulent	adj. 欺騙的，不誠實的
fraught	adj. 充滿的
frenzy	n. 狂熱
fret	v. 激怒
friction	n. 摩擦
fright	n. 驚嚇，恐怖
frigid	adj. 嚴寒的，冷淡的
frown	v. 皺眉，反對
frowzy	adj. 不整潔的，臭的
frugal	adj. 節約的
frustrate	v. 破壞，挫敗
fulminate	v. 猛烈爆發
functional	adj. 有用的
fund	n. 資金，基金，投資
fundamental	adj. 基礎的，基本的
furious	adj. 狂怒的，狂暴的
furniture	n. 傢俱
further	v. 促進，增進，更多的
fury	v. 勃然大怒
fusion	n. 融合，聯合
fussy	adj. 過分挑剔的
futile	adj. 無意的，徒勞的
fuzz	adj. 有絨毛的，絨毛狀的
gabble	vt. 急促而不清楚地說出
gainful	adj. 有利的，有報酬的
gainsay	v. 否認，反駁
galaxy	n. 星系，銀河
gale	n. 大風
gallant	adj. 英勇的
gallery	n. 畫廊
gangster	n. 暴徒，歹徒
gap	n. 裂口，差距
garb	n. 服裝，裝束
garner	v. 儲存
garnish	v. 加裝飾
gash	n. 深的切口
gasoline	n. 汽油
gasp	vt. 氣喘，喘息
gauche	adj. 笨拙的，粗魯的
gauge=gage	v. 精確計量
gaze	n. 凝視
gear	n. 齒輪
gem	n. 寶石
general	n. 普通的
generalize	v. 歸納，概括
generally	adv. 廣泛的，一般的
generate	vt. 造成
generous	adj. 慷慨的，大方的
generously	adv. 寬大的
genial	adj. 和藹的
genre	n. 題材，風格
genteel	adj. 上流社會的
gentility	n. 有教養，文雅
gentry	n. 貴族
genuine	adj. 真實的
geometry	n. 幾何學
germinate	v. 發芽
gibe	v. 譏笑
gild	v. 鍍金，虛事
girdle	n.帶，腰帶，帶狀物
gist	n. 要旨
glacial	adj. 冰河，冰川
glamour	n. 魅力
glamorous	adj. 富有魅力的
glaring	adj. 耀眼的，瞪眼的
glaze	v. 上釉使光滑，釉
gleam	v. 閃光，閃爍
glean	v. 收集
gleeful	adj. 及高興的，興奮的
glide	v. 滑動，溜走
gloom	n. 黑暗，憂愁
gloomy	adj. 暗的，憂鬱的
glorious	adj. 光榮的，壯麗的
glossary	n. 詞彙表
glossy	adj. 有光澤的
gnaw	v. 嚙，咬
gorge	n. 峽谷。 v. 塞飽
gorgeous	adj. 絢麗的，及好的
gossip	n. 閒話
govern	v. 決定，支配，控制
grab	v. 攫取，抓住
gracious	adj. 有禮貌的，仁慈的
grand	adj. 盛大的，壯麗的
grasp	v.n. 理解
grateful	adj. 感謝的
gratify	vt. 使滿意
gratitude	n. 感謝，感激
gratuitous	adj. 無理由的，不需要的
gravity	n. 引力
grease	n. 動物脂，脂肪
greasy	adj. 多脂的，油脂的
greedy	adj. 貪婪的
gregarious	adj. 群居的，合群的
grievance	n. 不滿
grieve	v. 悲傷
grieved	adj. 傷心的
grim	adj. 冷酷的，不吉祥的
grind	v. 折磨，壓搾
grip	v. 緊握
grope	v.n. 摸索
grotty	adj. 不悅的，慍怒的
grudge	n. 惡意
grumble	v. 喃喃訴苦
grumpy	adj. 壞脾氣的，性情暴躁的
guarantee	v. 確保
guileless	adj. 不狡猾的，誠實的
guise	n. 外觀，裝束
gush	v. 湧出
habituate	v. 習慣的
hackneyed	adj. 平凡的，陳腐的
haggle	v.n. 爭論
hail	n. 冰雹， v. 歡呼, 歡迎
halt	v. 停止，躊躇
hamper	v. 阻礙
handicap	v. 妨礙，使不利
handle	v. 操縱
handy	adj. 方便的，靈巧的
haphazard	adj. 偶然的，隨便的
harass	v. 侵擾
hardheaded	adj. 冷靜的，頑固的
hardly	adv. 幾乎不
hardy	adj.強壯的，耐勞的
harness	v. 利用
harry	v. 掠奪，折磨
harsh	adj. 嚴厲的，刺耳的
harvest	v.n. 收穫
hasten	v. 催促，趕緊
hasty	adj. 匆忙的
hatch	v. 孵出，孵卵
hatchet	n. 短柄斧
hatred	n. 憎惡，憎恨
haughty	adj. 傲慢的，輕蔑的
haul	v. 拖曳，拖運
haunt	v. 縈繞於心，常到
haven	n. 避難所
hazard	v. 危險，公害
hazardous	adj. 危險的
head	n.頭，v.向某處走去
headstrong	adj. 頑固的
heal 	v. 治癒，使和解，痊癒
healthful	adj. 有益健康的
hearsay	n. 謠傳，風聞
heave	v. 用力舉起，托
hectic	adj. 忙碌的，發熱的
heedless	adj. 不留心的
heirship	n. 繼承權
helpless	adj. 無助的
heredity	n. 遺傳
heresy	n. 異端，斜說
heritage	n. 遺產
hermit	n. 隱居者
hesitate	v.猶豫，躊躇，含糊
hew	v. 砍，伐，削
hideous	adj. 駭人聽聞的，醜惡的
highlight	v. 突出顯示，強調
hike	n. 上升
hilarious	adj. 高興的，熱鬧的
hilarity	n. 歡鬧
hinder	v. 妨礙
hinge	v. 依…而定
hinge	n. 鉸鏈
hoarse	adj. 嘶啞的
hoax	v.n. 愚弄
hoist	n. 升起，吊車
holocaust	n. 大屠殺
homage	n. 敬意
homicide	n. 殺人
homogeneous	adj. 同類的，相似的
horizontal	adj.水平的
horror	n. 恐懼
hospitable	adj. 好客的
hostile	adj. 敵對的，不友好的
howl	v.n. 嚎叫
hubbub	n. 嘈雜
human	adj. 人類的，人性的
humane	adj. 仁慈的，親切的
humid	adj. 潮濕的
humidity	n. 潮濕
humiliate	v. 屈辱，貶義
humorous	adj. 幽默的
hump	n. 駝峰，v.隆起
hunger	n. 飢餓，渴望
hurdle	n. 籬笆，障礙
hurl	v. 孟投，猛衝
hurricane	n. 颶風
husbandry	n. 耕種，管理
hustle	v. 驅趕
hybrid	n. 雜種，混血兒
hygiene	n. 衛生
hypothesis	n. 假設
iceberg	n. 冰山
identical	adj. 同一的
identify	v. 認出
ideology	n. 意識形態
idiocy	n. 白癡
idiosyncrasy	n. 個人特性
idiot	n. 白癡，傻子
idiotic	adj. 愚蠢的
idol	n. 偶像
idyllic	adj. 田園詩的
ignite	v. 使…燃著
ignoble	adj. 卑微的
ignominious	adj. 可恥的，不名譽的
ignorance	n. 無知
ignorant	adj. 無知的，不瞭解的
ignore	vt. 忽視
illegible	adj. 難辨認的
illegitimate	adj. 非法的，私生的
illicit	adj. 違法的
illiterate	n. 文盲
illuminate	vt. 照亮，照明，說明
illusion	n. 幻覺
illustrate	v. 說明
illustrious	adj. 輝煌的，著名的
imaginary	adj. 虛構的
imaginative	adj. 富於想像的
imbibe	v. 飲
imbue	v. 浸染，灌輸
imitate	v. 模仿
immediate	adj. 立即的
immense	adj. 巨大的，無限的
immerse	vt. 沉浸，給…施洗禮
immigrate	v. 移居入境
imminent	adj. 即將來臨的
immobile	adj . 固定的
immortal	adj. 不朽的
immune	adj. 免除的，免疫的
impact	v. 影響，作用，衝擊
impair	v. 損害
impale	v. 刺穿，刺住
impart	v. 給予，傳遞，告訴
impartial	adj. 公正的，無偏見的
impassioned	adj. 熱烈的
impassive	adj. 無感情的
impatient	adj. 不耐煩的
impeach	vt. 控告，彈劾
impeccable	adj. 無暇的
impel	v. 驅使
imperative	adj. 急需的，命令的
impertinent	adj. 無關的
impervious	adj. 不能滲透的
impetuous	adj. 猛烈的，衝動的
impetus	n. 推動力
implement	v. 實現
implement	n. 工具
implicate	v. 牽連
implicit	adj. 暗示的，含蓄的
imposing	adj. 令人難忘的
impotence	n. 無效，無力，虛弱
impressionism	n. 印象派
impressively	adv. 令人難忘的
imprisonment	n. 監禁
impromptu	adj. 臨時的，即興的
impropriety	n. 不適當
improvident	adj. 浪費的
improvise	v. 即席而作
imprudent	adj. 輕率的，不謹慎的
impudent	adj. 魯莽的
impulse	n. 衝動，刺激，推動
impulsive	adj. 易衝動的,任性的
impunity	n. 免罰
impure	adj. 髒的，不純潔的
impurity	n.雜質
impute	v. 歸咎於
inaugurate	v. 開始，使…就職
inborn	adj. 天生的
incapacitate	v. 使不能
incense	v. 激怒
incentive	n. 刺激，動機
incessant	adj. 不斷的
incipient	adj. 初期的
incisive	adj. 尖銳的，深刻的
incite	v. 引起，激動，煽動
inclined	adj. 傾向的
incoherent	adj. 不連貫的
incompatible	adj. 不兼容的
incompetent	adj. 不稱職的
inconceivable	adj. 不可思議的
incongruity	n. 不和諧
incongruous	adj. 不協調的
incorruptible	adj. 廉潔的
incredible	adj. 難以相信的
incredulity	n. 懷疑
incriminate	v. 控告，使負罪
incur	v. 遭遇，遭致，承擔
indecent	adj. 無理的，下流的
indefatigable	adj. 不疲倦的
indefinite	adj. 不明確的，不定的
indemnity	n. 賠償
indent	n. 縮排，縮進，契約
indicate	vt.指示，表示
indictment	n. 起訴
indifferent	adj. 冷漠的，不積極的
indigenous	adj. 土產的，固有的
indigent	adj. 貧窮的
indignant	adj. 憤慨的，義憤的
indignity	n. 侮辱
indolent	adj. 懶惰的
indomitable	adj. 不屈不撓的
induce	v. 導致，誘使
industrial	adj. 工業的
industrious	adj. 勤勉的
ineligible	adj. 無資格的，不適當的
inept	adj. 不適宜的
inert	adj. 不活潑的，遲鈍的
inertial	adj. 慣性
inevitable	adj. 不可避免的，必然的
infallible	adj. 必然的，不會錯的
infamous	adj. 臭名昭著的
infect	v. 傳染，感染
infectious	adj. 傳染的，感染性的
infer	v. 推知
inferior	adj. 下級，晚輩，次品，劣等的，自備的
inflation	n. 通貨膨脹
inflexible	adj. 堅定的
inflict	v. 造成
influential	adj. 有影響的，有權勢的
influx	n. 流入，灌輸
informal	adj. 不拘禮節的，隨便的
infringe	v. 侵犯，違反
infuse	vt. 灌輸，浸漬
ingenious	adj. 機靈的，精巧製成的
inhabit	vt. 居住於，棲息於
inhabitant	n. 居民，住戶
inherent	adj. 固有的
initial	adj. 初始的
initiate	v. 開始，初始，啟蒙
inject	v. 注射，注入
injure	v. 傷害，損害，損傷
injurious	adj. 侮辱，損害的，誹謗的
innate	adj. 天生的
innocent	adj. 清白的，幼稚的
innovation	n. 改革，革新
innumerable	adj. 無數的
inordinate	adj. 無節制的，過度的
inquiry	n. 調查，研究
inquisitive	adj. 好奇的
insane	adj. 發狂，精神錯亂的
insert	v. 插入
insinuate	v. 迂迴進入，暗示
insist	v. 主張，堅持說
insolent	adj. 傲慢的，無理的
inspect	v. 檢查，視察
install	v. 安裝，設置
instantaneous	adj. 瞬間的，即可的
instigate	v. 鼓動
instill	v. 灌輸
instinctive	adj. 天生的，本能的
institute	v. 建立， n. 研究所
instruct	v. 教，命令
instrument	n. 儀器，工具，樂器
instrumental	adj. 有幫助的，儀器的，機械的
insubordinate	adj. 不服從得
insufferable	adj. 難以忍受的
insular	adj. 海島的，狹隘的
insult	v.n. 侮辱，凌辱
integral	adj. 組成的，整的
integrate	v. 使結合，使進入
integrity	n. 正值，完整性
intellectual	adj. 智力的
intelligence	n. 智力
intelligent	adj. 聰明的
intelligible	adj. 可理解的
intense	adj. 非常的，緊張的
intensify	v. 加強
intensive	adj. 集中的
intercede	v.調停，調解
intercept	v. 中途攔截，阻止
interest	n. 興趣，利息
interfere	v.  干涉，干預，妨礙
interior	adj. 內部
interject	v. 突然插入
interlude	n. 間隔，插曲
intermediary	n. 媒介物，居間者
intermediate	adj. 中級的
internal	adj. 內在的
interrogate	v. 審問，詢問
interrupt	v. 打斷，插嘴
intersect	v. 相交
intervene	v. 干涉
intimacy	n. 熟悉，親近
intimate	adj. 親密的，v. 暗示
intimidate	v. 恐嚇
intoxicate	vt. 使陶醉，使中毒
intrepid	adj. 勇敢的
intricate	adj. 錯綜複雜的，難懂的
intrinsic	adj. 本質的，本身的
intrude	v. 侵擾
intuition	n. 直覺
inure	v. 使習慣
invade	v. 侵入，侵犯
invalid	adj. 無效的，有病的
invalidate	vt. 使作廢
invaluable	adj. 無價的
inventory	n. 物品清單，庫存物品
inverse	n. 反的
invert	v. 倒轉
investigate	v. 調查，研究
inviting	adj. 誘人的，引人注目的
invocation	n. 祈禱
invoke	v. 懇求，祈求
irreconcilable	adj. 不能妥協的
irrelevant	adj. 離題的，無關的
irrepressible	adj. 不可壓制的，難以征服的
irreproachable	adj. 無可指責的
irresistible	adj. 不可抗拒的
irresolute	adj. 猶豫不決的
irreverent	adj. 不恭敬的
irrevocable	adj. 不能取消的
irrigate	vt. 灌溉
irritable	adj. 過敏的，易怒的
irritate	v. 激怒
isolate	v. 使隔離
issue	n. 問題，出版，發行, 期， v. 發行
itinerant	adj. 巡迴的，流動的
jar	n.v.adj. 震動
jealous	adj. 妒忌的，猜疑的
jeer	n.v. 嘲笑
jellyfish	n. 水母
jeopardy	n. 危險
jerk	v. 急拉，抽搐
jolt	v.n. 搖動
joyous	adj. 快樂的，高興的
judgement	n. 判決
jumble	v. 混雜
junction	n. 連接，匯合處
juncture	n. 接合點
jurisdiction	n. 司法權
justify	v. 證明…是正當的
justly	adv. 公正的
juvenile	adj. 青少年的
ken	n. 視野，知識
kidnap	vt. 綁架
kindle	v. 燃起，激起
kingdom	n. 王國
knowledgeable	adj. 有見識的
laborious	adj. 勤勞的，費力的，艱難的
labyrinth	n. 迷宮，錯綜複雜之事件
lag	n. 落後
lament	n. 悲傷，痛惜
land	v. 著陸，降落
languid	adj. 精神不振的
languish	v. 變衰弱
lash	v. 鞭打
lasting	adj. 持久
lately	adv. 最近
latitude	n. 緯度
laud	v.n. 讚美
laudable	adj. 值得讚美的
launch	v. 發射，透射，發動，使…升空
laurel	n. 月桂樹
lavish	adj. 豐富的，浪費的
lawn	n. 草地，草坪，操場
lawsuit	n. 訴訟
lead	v. 引導，n. 鉛
leading	adj. 指導的，最主要的
league	n. 同盟，聯盟，聯合會
leak	n. v. 洩漏
lease	v. 出租
leash	n. 牽狗的皮帶，束縛
ledge	n. 壁架，突出物，暗礁
legacy	n. 遺產，遺物
legalize	v. 合法化，法律認可
legendary	adj. 傳奇的
legislate	v. 立法
lethal	adj. 致命的
levy	n. v. 課稅，徵收
liaison	n. 聯絡
liberal	adj. 心胸寬大的，慷慨的
liberate	v. 釋放
licenced	adj. 被許可的
limestone	n. 石灰石
limp	v. 蹣跚，瘸著走
limpid	adj. 清澈的
linguistics	n. 語言學
liquid	n. 液體
listless	adj. 冷漠的，不留心的
literate	adj. 有文化的，能讀寫的
lithe	adj. （指人、身體）柔軟的，易彎的
loan	v. 借， 貸款
loath	dj. 不喜歡的
loathe	v. 厭惡
locate	v. 找出，設置
lofty	adj. 高聳的，高尚的
log	n. 原木，日誌
logical	adj. 合邏輯的
long	v. 渴望
longitude	n. 經度
loop	n. 圈，環，環孔
loose	adj. 寬鬆的
loot	v. 掠奪
lottery	n. 獎券，抽獎，碰巧之事
lown	adj. 歇息，使平靜
luminous	adj. 發光的, 明亮的
lure	v. 誘惑
lurk	v. 躲藏
luster	n.v. 光彩，光澤
lusty	adj. 強壯的，有精神的
luxuriant	adj. 繁茂的，多產的
luxurious	adj. 奢侈的
lyric	n. 抒情詩，歌詞
magnificent	adj. 壯麗的，華麗的
maim	v. 使殘廢，損傷
maintain	v. 堅持認為，維修
major	adj. 專業，主要的
majority	n. 多數，大多數
malady	n. 疾病
malcontent	n. 不平者，不滿者
malevolent	adj. 惡意的
malice	n. 惡意
malicious	adj. 心毒的，懷惡意的
malign	v. 詆毀，誹謗
malleable	adj. 有延展性的，可鍛的
mammal	n. 哺乳動物
mandate	n. 命令，要求
mandatory	adj. 命令的，強制的
manoeuvre	v. 調遣，策略
mangle	v. 撕裂，毀壞
mania	n. 癲狂，狂熱
manifold	adj. 多方面的，多樣的
manipulate	v. 操作
manufacture	v. 製造，製造產品
manure	v. 施肥
marble	n. 大理石
margin	n. 頁邊的空白，欄外
marine	adj. 海的，海上的
marital	adj. 婚姻的
maritime	adj. 海上的，近海的
marvelous	adj.  不可思議的, 了不起的
mass	n. 質量
massive	adj. 巨大的
massless	adj. 無以論比的
mathematics	n. 數學
maxim	n. 格言，箴言
maze	n. 迷惑，迷宮
mean	v. 意預，卑鄙的
meander	v. 蜿蜒而流
means	n. 手段，方法，錢
mechanical	adj. 機械的
mechanics	n. 力學
meddle	v. 干預
mediate	v. 調停
mediocre	adj. 平常的，普通的
meditate	v. 深思的
medium	adj. 媒介，中間，中等的
meek	adj. 溫順的，柔和的
menace	n. 威脅，脅迫
mend	v. 改進，修正，改正
menial	adj. 奴僕的，卑賤的
mention	v.n. 主張，提及
merchandise	n. 商品
merciful	adj. 仁慈的，寬大的
merge	v. 合併
merit	n. 優點
messy	adj. 骯髒的，凌亂的
metabolism	n. 新陳代謝
methodical	adj. 有條理的
meticulously	adj. 很仔細的
mighty	adj. 巨大的
mimicry	n. 模仿，擬態
mine	v. 採礦
minority	n. 少數，少數民族
minute	adj. 微小的
miser	n. 守財奴，吝嗇鬼
miserable	adj. 痛苦的，可憐的
miserly	adj. 吝嗇的
misery	n. 痛苦，苦惱
misgiving	n.疑懼，疑慮
mishap	n. 災禍，不幸
mitigate	v. 緩和，減輕
mock	v.n. 嘲弄，挖苦
moderate	adj. 溫和的，有節制的
modest	adj. 謙虛的，適度的
modify	v. 修改
modulate	vt. 調整
moist	adj. 濕潤的， 多雨的
moisten	v. 使濕潤
mold=mould	v. 塑造
molecule	n. 分子
mollify	v.緩和
momentous	adj. 極重要的
monarch	n.君主，最高統治者
monitor	n.v. 監視器，監控
monotonous	adj. 單調的
monster	n. 怪物，巨獸
morale	n. 民心，士氣
morbid	adj. 病態的，不健康的
moron	n. 低能兒，白癡
mortal	n. 凡人，adj. 終有一死的
mostly	adv. 多半的，通常
motif	n. 主題，主旨
motion	v.n. 運動
motivation	n. 動機
muddle	v. 使混亂
multitude	n. 眾多
munificent	adj. 慷慨的
mutation	n. 變化
mutual	adj. 相互的，共同的
